age,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
82.0,1.527824,0.330773,1.6296288,3.7454216,1.2171781,-1.5191721,-1.7056109,0.19739147,-2.8221378,-0.65283227,1.0715661,0.33342087,-0.10442446,0.4800715,2.2326849,-0.7251352,-0.6523369,0.21282424,-1.088688,-1.5263478,1.0579231,0.5619947,-0.122981355,-1.1103793,0.9801924,0.81983066,-0.17606418,-2.1215477,0.88780224,1.3683076
21.0,-0.6335247,0.5286485,-0.4564936,-0.012142349,0.7256118,-0.10665346,0.67866546,0.31232917,0.73650426,-0.2677266,0.71095574,0.055068497,-0.05866356,0.54469895,-0.3526818,-0.2957098,0.29725328,-1.3821096,-0.32650062,0.6835652,-0.3268079,-0.22900392,0.40938535,-0.5225979,0.90385866,-0.22890179,0.012232143,0.94558454,-0.060785595,-1.1744071
27.0,-0.36449778,-1.0143536,-0.36450374,-0.6371999,-0.50645566,0.04415562,-0.830686,-1.190218,-0.29271126,-0.8701517,-1.1992987,0.123309456,-1.1381891,0.31485066,0.89782476,-0.42788818,0.6425974,-0.7573516,1.331536,0.24529691,-1.0155618,-0.08854638,-0.85398847,-0.07100893,-1.0656335,1.2129564,0.0407662,0.76217145,0.13740613,-0.6249062
54.0,2.4206161,0.8916296,0.22563943,-0.94819933,0.06620089,1.2000105,3.7542446,-0.6921851,1.5814033,-0.09452492,-0.9281119,0.46881616,-1.248722,-2.8754144,3.2081258,-0.91210335,-0.7326443,-0.28891656,-0.13799508,-1.0609609,-1.589155,-1.5408292,0.32822946,-2.0566041,-2.225228,0.7167125,1.5755323,1.5089463,1.505441,0.32558754
26.0,-0.60534483,0.1535125,-0.19764668,-0.9291468,-0.9963267,-0.7470901,0.20479566,-1.2566491,-0.6927033,-0.45129836,-0.14447662,0.5508509,-0.7124699,-0.6813722,-0.3262397,0.5826493,1.2377899,0.12693326,-0.16439822,-0.92446554,-0.2277653,0.5566955,-0.51065284,0.15969883,-0.2255765,0.289774,-0.47486562,0.8163631,0.97041935,-0.5693194
28.0,-0.45812485,0.19800219,0.20875387,2.7610385,1.1812422,-0.25866628,-0.29915392,-0.9016596,-0.30427969,-0.40192017,-1.8994298,-0.6630363,0.6985687,-0.5373757,-1.6862082,-0.42321384,-0.54307616,0.17983896,0.11020508,0.36438218,-0.4397718,-1.3124983,0.16239159,-0.774762,-0.48212495,-0.2822736,0.16981708,0.09215953,0.045834664,-0.10997285
29.0,-0.6017292,0.0413703,-0.8803259,-0.92699635,1.2380131,-0.008652803,-0.84650034,-0.20157963,-0.14189655,-0.27672347,-0.46506795,-0.36554956,-0.27439764,-0.26361063,0.7472465,-0.14857323,-0.043443624,-0.033982165,-1.0169977,-0.056868926,0.6107933,-0.13822637,-1.3014008,0.07648343,-0.8610735,1.1399854,0.27000758,-0.07966819,0.63311565,-0.67587906
40.0,-1.0734615,0.33477834,0.49762574,0.31606445,-0.038389936,0.13739127,0.84281063,0.6850514,0.45601386,-0.08434928,-0.516206,-0.20312335,-0.61111385,0.030863324,-0.07537878,0.42016613,-0.052310128,0.48749575,0.22601889,-0.14218782,-0.014463044,-0.064020514,-0.18752769,-0.15484282,0.6802679,0.07149931,0.10815945,0.2526793,0.26935273,0.37353978
26.0,0.23813091,0.36959863,-0.41039887,-0.7264316,-0.07073197,0.8888511,-1.3513966,0.54765266,1.8192348,1.6950767,0.9284046,0.034267157,-0.3227546,-0.7733068,-1.2379521,1.0906179,-0.09167681,-0.15615962,0.87669057,-0.1367913,0.9741935,0.22949606,-0.54627,0.3814013,-0.1309752,-0.55104715,-0.3575371,-1.0649343,-0.64889807,1.330772
56.0,-0.5267101,0.21589276,0.49324673,0.9384362,0.9377236,0.0911254,0.6850042,0.46427214,0.07267518,-0.0054740086,-0.54718435,-0.88750017,0.04237621,0.35320857,-0.53308403,-0.26503658,-0.63712573,0.65649897,-0.20015587,-0.085041426,-0.66522187,-0.23975834,0.46885952,0.90250653,0.5807972,-0.6215719,0.004486003,0.10534539,-0.16241378,0.14572582
29.0,-0.5860039,0.42020443,-1.1709081,-1.3489633,-0.07409243,-0.64472014,-0.823556,-0.4090453,0.26545435,-0.004363487,-0.16718487,-1.2040354,-0.42621234,-0.37318456,0.0010657066,-0.42271653,0.9761132,-0.068792075,-0.7990437,-0.15480629,0.40905258,-0.6453868,-0.8405507,-0.09797091,-0.32186636,0.6468814,-0.1351535,0.5515998,0.32543287,0.25769377
1.0,-0.0043702996,-1.9863904,-1.6094859,0.57051814,-2.0189483,-1.4358305,0.40706527,0.44476938,-0.9728778,0.85453683,-0.70815104,-0.9500823,-0.747748,0.7992034,0.47576615,0.371649,0.864137,-1.3920838,0.15736102,0.42016023,-0.4259162,-0.4971798,0.24634427,0.4257708,-1.4907141,0.17963564,0.7286088,-0.5062821,1.1217107,-0.7117675
25.0,-1.0303336,-0.5800726,-0.5559753,-0.68699795,0.4951233,0.11423419,-0.3616578,-0.38582247,-0.23117456,0.24294576,0.7588518,-0.48503596,-0.5663634,-0.3296727,0.26710996,-0.34965393,0.48215854,0.99287474,0.051701643,-0.23270792,0.17096545,0.1711324,-0.42294797,-0.021898141,0.087873444,0.13529265,-0.31375057,0.379317,0.65552634,1.0243413
6.0,1.1335115,-1.4636976,-0.7002026,0.655512,-0.55711544,0.4742024,-0.44297063,0.9237367,0.37897813,-1.7320167,2.036475,0.52499074,1.1179656,1.9175205,-0.12761709,1.3465487,-0.36286134,1.874916,-2.1436508,0.3141927,-0.86145604,-0.6087944,1.3661274,-0.78284264,-0.042747755,1.5225366,1.8557571,1.8456513,-0.76750493,0.73729557
49.0,-0.6091909,0.061222114,1.1527221,0.6911875,0.55763793,-1.154529,0.6551582,0.41390738,-0.22292407,-0.10989297,0.16369356,0.0023575702,-0.3130633,-0.0266182,0.18998481,-0.8078621,0.33640698,0.4239763,0.3672666,0.3593385,0.47677264,-0.45833355,1.1276228,0.25225154,0.83298707,0.2565761,-0.15948358,0.25630823,0.03422834,0.49187258
10.0,-0.6871073,-0.8068414,-0.91442084,0.2942966,1.6029688,0.10749779,-0.2991204,-0.29986694,-0.36873046,1.3440019,1.0447252,-0.9541942,0.2102292,-0.62960523,0.097769946,-1.3802379,0.072613426,1.0717095,-0.22996645,-1.442228,0.08488573,0.18449223,0.12573947,0.8289031,0.33722332,-0.29466444,-0.69114465,0.047961418,-0.34188822,-0.4618067
4.0,3.0494897,-1.91713,2.0013566,-0.27500314,1.0636948,2.869816,-0.63630545,3.3343363,0.65083593,-3.611654,3.6011114,-4.326609,-0.35064664,0.037792396,-2.5980349,0.48167482,3.5197575,1.6920662,2.346497,0.1700211,-2.704357,2.4171124,-0.4638681,-1.3033216,-2.7014103,0.2002201,-6.778201,0.66856223,1.0791365,-2.581512
42.0,-0.98788804,0.28961673,0.5291115,0.034366526,-0.06334114,0.3971896,0.47921583,0.6730743,0.5927529,0.12647654,-0.47550943,-0.2317523,-0.56805795,-0.007165552,-0.80019057,0.049525935,-0.40108833,-0.022880387,0.33523184,-0.18159513,0.094055705,-0.552259,-0.29461136,-0.11255326,0.7123935,0.4286583,0.16038305,-0.07828057,-0.103843726,-0.28899732
